duration,definition,viewCount,likeCount,commentCount,publishedAt,channelId,title,description,localized,tags,k
PT19M19S,sd,22185,307,0,2020-10-07T06:12:12Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 2 Math Q1 Ep2: Pagbibilang ng Numero mula 101 hanggang 1000 Gamit ang Iba't Ibang Materyales,"Grade 2 Math
Quarter 1 
Episode 2: Pagbibilang ng Numero mula 101 hanggang 1000 Gamit ang Iba't Ibang Materyales 
Teacher: Salvador Manansala I","{'title': ""Grade 2 Math Q1 Ep2: Pagbibilang ng Numero mula 101 hanggang 1000 Gamit ang Iba't Ibang Materyales"", 'description': ""Grade 2 Math\nQuarter 1 \nEpisode 2: Pagbibilang ng Numero mula 101 hanggang 1000 Gamit ang Iba't Ibang Materyales \nTeacher: Salvador Manansala I""}",,2
PT21M1S,hd,41024,637,0,2020-10-05T02:57:52Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 2 MTB Q1 Ep1: Pagbibigay ng Komento o Reaksiyon,"Grade 2 Mother Tongue-Based Multilingual Education
Quarter 1
Episode 1: Pagbibigay ng Komento o Reaksiyon
Teacher: Alma Cecilia Lawagan","{'title': 'Grade 2 MTB Q1 Ep1: Pagbibigay ng Komento o Reaksiyon', 'description': 'Grade 2 Mother Tongue-Based Multilingual Education\nQuarter 1\nEpisode 1: Pagbibigay ng Komento o Reaksiyon\nTeacher: Alma Cecilia Lawagan'}",,2
PT19M1S,sd,22261,310,0,2020-10-07T07:27:10Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 2 MTB Q1 Ep2: Mga Salitang Binubuo ng Maraming Pantig,"Grade 2 Mother Tongue Based Multilingual Education
Quarter 1
Episode 2: Mga Salitang Binubuo ng Maraming Pantig 
Teacher: Alma Cecilia Lawagan","{'title': 'Grade 2 MTB Q1 Ep2: Mga Salitang Binubuo ng Maraming Pantig', 'description': 'Grade 2 Mother Tongue Based Multilingual Education\nQuarter 1\nEpisode 2: Mga Salitang Binubuo ng Maraming Pantig \nTeacher: Alma Cecilia Lawagan'}",,2
PT20M1S,hd,11914,110,0,2021-09-22T03:57:33Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 AP Q1 Ep6: Populasyon,"Grade 3 AP 
Quarter 1
Episode 6: Populasyon
Teacher:  Laiza Dalit","{'title': 'Grade 3 AP Q1 Ep6: Populasyon', 'description': 'Grade 3 AP \nQuarter 1\nEpisode 6: Populasyon\nTeacher:  Laiza Dalit'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT23M23S,hd,20188,330,0,2021-08-27T06:11:48Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 English Q1 Ep 12: Plural Forms of Frequently Occurring Plural Nouns,"Grade 3 English
Quarter 1
Episode 12: Plural Forms of Frequently Occurring Plural Nouns
Teacher : Desheryl M. Cuyos","{'title': 'Grade 3 English Q1 Ep 12: Plural Forms of Frequently Occurring Plural Nouns', 'description': 'Grade 3 English\nQuarter 1\nEpisode 12: Plural Forms of Frequently Occurring Plural Nouns\nTeacher : Desheryl M. Cuyos'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT20M1S,hd,30108,431,0,2021-08-27T06:09:58Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Science Q1 Ep7: Liquid to Solid,"Grade 3 Science  
Quarter 1
Episode 7: Liquid to Solid
Teacher Broadcaster: Ethel Tumanan","{'title': 'Grade 3 Science Q1 Ep7: Liquid to Solid', 'description': 'Grade 3 Science  \nQuarter 1\nEpisode 7: Liquid to Solid\nTeacher Broadcaster: Ethel Tumanan'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT19M45S,hd,14992,208,0,2021-08-26T10:57:28Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Filipino Q1 Ep15: Paglalarawan sa Elemento ng Kuwento,"Grade 3 Filipino
Quarter 1
Episode 15: Paglalarawan sa Elemento ng Kuwento
Teacher: Maribel Bulalayao","{'title': 'Grade 3 Filipino Q1 Ep15: Paglalarawan sa Elemento ng Kuwento', 'description': 'Grade 3 Filipino\nQuarter 1\nEpisode 15: Paglalarawan sa Elemento ng Kuwento\nTeacher: Maribel Bulalayao'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT17M15S,hd,5029,98,0,2021-08-26T07:51:34Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 MTB- MLE Q1 Ep18: Mga Halimbawa ng Idyoma at Katumbas na Kahulugan nito,"Grade 3 Mother-Tongue Based Multilingual Education
Quarter 1
Episode 18: Mga Halimbawa ng Idyoma at Katumbas na Kahulugan nito
Teacher: Marvin Balingit","{'title': 'Grade 3 MTB- MLE Q1 Ep18: Mga Halimbawa ng Idyoma at Katumbas na Kahulugan nito', 'description': 'Grade 3 Mother-Tongue Based Multilingual Education\nQuarter 1\nEpisode 18: Mga Halimbawa ng Idyoma at Katumbas na Kahulugan nito\nTeacher: Marvin Balingit'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT24M7S,hd,10227,174,0,2021-08-26T07:39:25Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 MTB- MLE Q1 Ep7: Pagsulat ng mga Detalye mula sa Kuwentong Binasa,"Grade 3 Mother-Tongue Based Multilingual Education
Quarter 1
Episode 7: Pagsulat ng mga Detalye mula sa Kuwentong Binasa
Teacher: Marvin Balingit","{'title': 'Grade 3 MTB- MLE Q1 Ep7: Pagsulat ng mga Detalye mula sa Kuwentong Binasa', 'description': 'Grade 3 Mother-Tongue Based Multilingual Education\nQuarter 1\nEpisode 7: Pagsulat ng mga Detalye mula sa Kuwentong Binasa\nTeacher: Marvin Balingit'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT19M58S,hd,5447,89,0,2021-08-26T07:36:42Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Filipino Q1 Ep17: Pagsasalaysay muli sa Nabasang Teksto,"Grade 3 Filipino
Quarter 1
Episode 17: Pagsasalaysay muli sa Nabasang Teksto sa Tulong ng Pamatnubay na Tanong at Balangkas
Teacher: Maribel Bulalayao","{'title': 'Grade 3 Filipino Q1 Ep17: Pagsasalaysay muli sa Nabasang Teksto', 'description': 'Grade 3 Filipino\nQuarter 1\nEpisode 17: Pagsasalaysay muli sa Nabasang Teksto sa Tulong ng Pamatnubay na Tanong at Balangkas\nTeacher: Maribel Bulalayao'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
