ind,definition,total_views,total_likes,avg_daily_views,total_comments,publish_date,title,tags,k,quarter,grade_level,teacher,episode,subject,duration_in_seconds,tag_type
1070,hd,17938,343,40,134,2020-11-07,SHS Physical Science Q1 Ep2: Formation of Heavy Elements (Part 2),"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",12,Quarter 1,Grade 12,immanuel maglasang,Episode 02,physical science,1528,11
1071,hd,15906,330,42,74,2021-01-18,SHS  21st  Century Literature Q1 Ep 5 Context and Tex't Meaning,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,nova dolore pelayo,Episode 05,21st century literature,1166,9
1072,hd,29519,532,78,256,2021-01-19,SHS MIL Q1 Ep 3 Responsible Use of Media and Information,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,brex brayan nicolas,Episode 03,media and information literacy,1541,9
1073,hd,13699,224,36,31,2021-01-19,"SHS MIL Q1 Ep 8 Property Rights , Intellectual Property, and Fair Use Guidelines","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,brex brayan nicolas,Episode 08,media and information literacy,1595,9
1074,hd,34148,577,91,31,2021-01-19,SHS MIL Q1 Ep 7 Media Codes and Conventions,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,brex brayan nicolas,Episode 07,media and information literacy,1641,9
1075,hd,46402,823,123,12,2021-01-19,SHS Oral Communication Q1 Ep 7 Different Types of Speech Context,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,derry ann belen,Episode 07,oral communication,1285,9
1076,hd,93489,1871,248,37,2021-01-19,SHS Oral Communication Q1  Ep 2 Models pf Communication,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,derry ann belen,Episode 02,oral communication,1564,9
1077,hd,99597,3167,264,0,2021-01-19,"SHS 21st Literature Q1 Ep 1 Geographic , Linguistic,  and Ethnic Dimensions of the Philippine","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,nova dolore pelayo,Episode 01,21st century literature,1316,9
1078,hd,33558,767,89,29,2021-01-19,SHS 21st Literature Q1 Ep3 21st Literary Genres,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,nova dolore pelayo,Episode 03,21st century literature,1083,9
1079,hd,23555,535,62,0,2021-01-19,SHS 21st Literature Q1 Ep 2 Represintative Text from the Region,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,nova dolore pelayo,Episode 02,21st century literature,1211,9
1080,hd,15405,331,41,7,2021-01-19,SHS 21st Literature Q1 Ep 4 Context and Text's Meaning,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,nova dolore pelayo,Episode 04,21st century literature,1168,9
1081,hd,33229,839,88,14,2021-01-18,SHS Filipino Q1 Ep 2 Konseptong Pangwika,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,loren domer ybañez,Episode 02,komunikasyon at pananaliksik,1589,9
1082,hd,11149,191,29,0,2021-01-18,SHS Pagbasa Q1 Ep 3 Katanigan at Kalikasan ng Iba't ibang Teksto Tungo sa Pananaliksik,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,jerson quiachon orbiso,Episode 03,pagbasa,1322,9
1083,hd,5521,80,15,2,2021-01-18,SHS Pagbasa Q1 Ep 4 Pagbasa at Pagsusuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,jerson quiachon orbiso,Episode 04,pagbasa,1326,9
1084,hd,13351,258,35,1,2021-01-18,SHS Pagabasa Q1 Ep 5 Tekstong Nanghihikayat o Perswey,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,jerson quiachon orbiso,Episode 05,pagbasa,1114,9
1085,hd,9953,227,26,4,2021-01-18,SHS Filipino Q1 Ep 8 Kohesyong Gramatikal,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,ryan alba,Episode 08,komunikasyon at pananaliksik,903,9
1086,hd,21761,483,58,9,2021-01-18,SHS Filipino Q1 Ep 3  Patakarang Bilingguwal,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",12,Quarter 1,Grade 12,loren domer ybañez,Episode 03,komunikasyon at pananaliksik,1418,9
