ind,definition,total_views,total_likes,avg_daily_views,total_comments,publish_date,title,tags,k,quarter,grade_level,teacher,episode,subject,duration_in_seconds,tag_type
0,hd,931220,7862,1924,0,2020-10-04,Kinder Q1 Ep1: Pagkilala sa Sariling Pangalan at Kasarian,0,k,Quarter 1,Kinder,levin pabriaga,Episode 01,holistic development,1621,12
1,sd,271471,1880,564,0,2020-10-07,Kinder Q1 Ep2: Pagkilala sa Sariling Gulang at Kapanganakan,0,k,Quarter 1,Kinder,levin pabriaga,Episode 02,holistic development,1561,12
2,hd,182163,1222,413,0,2020-11-16,Kinder Q1 Ep3: Pagkilala sa Sariling Gusto Di Gusto,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k,Quarter 1,Kinder,levin pabriaga,Episode 03,holistic development,1441,11
3,hd,188025,1264,411,0,2020-10-31,Kinder Q1 Ep4: Pagsasabi ng Pangangailangan ng Walang Pag-Aalinlangan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'kinder', 'deped tv kinder']",k,Quarter 1,Kinder,levin pabriaga,Episode 04,holistic development,1507,10
4,hd,132821,975,295,0,2020-11-07,Kinder Q1 Ep5: Pagsasabi ng mga Sariling Pangangailangan nang Walang Pag aalinlangan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k,Quarter 1,Kinder,levin pabriaga,Episode 05,holistic development,1387,11
5,sd,119372,804,252,0,2020-10-15,Kinder Q1 Ep6: Pagsunod sa Itinakdang Gawain at Tuntunin,0,k,Quarter 1,Kinder,levin pabriaga,Episode 06,holistic development,1508,12
6,hd,118955,827,270,0,2020-11-16,"Kinder Q1 Ep7: Pagbubukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis, Kulay, Laki at Gamit","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k,Quarter 1,Kinder,levin pabriaga,Episode 07,holistic development,1477,11
7,hd,143658,1006,326,0,2020-11-16,"Kinder Q1 Ep8: Pagbubukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis,Kulay, Laki at Gamit","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k,Quarter 1,Kinder,levin pabriaga,Episode 08,holistic development,1534,11
8,hd,100634,619,241,0,2020-12-09,"Kinder Q1 Ep9: Pagbabakat, Pagsisipi, at Pagsusulat ng Iba't Ibang Linya","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 09,holistic development,1522,9
9,hd,84239,566,520,0,2021-08-22,"Kinder Q1 Ep10: Pagkilos ng Iba’t ibang kakayahan Gaya ng Pag-awit, Pag-sayaw, at Iba pa","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 10,holistic development,1411,9
10,hd,174502,1341,1077,0,2021-08-22,"Kinder Q1 Ep11: Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 11,holistic development,1507,9
11,hd,41356,325,255,0,2021-08-22,"Kinder Q1 Ep12 - Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 12,holistic development,1528,9
12,hd,38659,345,242,0,2021-08-24,"Kinder Q1 Ep13 - Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 13,holistic development,1489,9
13,hd,43179,285,108,0,2020-12-28,"Kinder Q1 Ep14: Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 14,holistic development,1381,9
14,hd,73961,576,185,0,2020-12-28,Kinder Q1 Ep15: Pagkilala ng mga Pangunahing Emosyon,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 15,holistic development,1380,9
15,hd,52774,417,326,0,2021-08-22,Kinder Q1 Ep 16: Pagtukoy ng Symmetry o Balanse ng mga Hugis,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 16,holistic development,1381,9
16,hd,35323,280,221,0,2021-08-24,Kinder Q1 Ep17 - Pagtukoy ng Symmetry o Balanse ng mga Hugis,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 17,holistic development,1381,9
17,hd,60342,445,377,0,2021-08-24,Kinder Q1 Ep18 - Pagtukoy sa Iba’t ibang Bahagi ng Katawan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 18,holistic development,1381,9
18,hd,70511,496,171,0,2020-12-14,Kinder Q1 Ep19: Pagtukoy sa Gamit ng Iba't ibang Parte ng Katawan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 19,holistic development,1362,9
19,hd,53181,378,129,0,2020-12-14,Kinder Q1 Ep20:  Pagtukoy sa Gamit ng Iba't ibang Parte ng Katawan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 20,holistic development,1257,9
20,sd,48957,305,119,0,2020-12-16,Kinder Q1 Ep21: Igalaw ang Iba't Ibang Bahagi ng Katawan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 21,holistic development,1387,9
21,hd,68973,527,426,0,2021-08-22,Kinder Q1 Ep 22: Pagtukoy sa Iba’t ibang mga Pandama,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k,Quarter 1,Kinder,levin pabriaga,Episode 22,holistic development,1256,9
22,hd,122359,1230,270,0,2020-11-04,Grade 1 Araling Panlipunan Q1 Ep1: Mga Batayang Impormasyon Tungkol sa Sarili,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",1,Quarter 1,Grade 1,danilyn espinola,Episode 01,araling panlipunan,1468,11
23,sd,507382,4538,1059,0,2020-10-09,Grade 1 Math Q1 Ep1: Bilang 1 - 50,0,1,Quarter 1,Grade 1,maria luisa san miguel,Episode 01,math,1270,12
24,hd,43268,578,292,0,2021-09-05,Grade 1 MTB Q1 Ep1: Pagsasabi ng Tungkol sa Sarili at Sariling Karanasan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 01,mother tongue based multilingual education,1351,9
25,hd,114959,874,249,0,2020-10-27,Grade 1 Math Q1 Ep2: Bilang 1-100,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 02,math,1304,11
26,hd,38331,365,231,0,2021-08-18,Grade 1 PE & HEALTH Q1 Ep1: Iba't ibang Bahagi ng Katawan /  Pagkilala sa mga Pagkaing...,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,ariel delos santos,Episode 01,physical education & health,1492,9
27,hd,22144,234,135,0,2021-08-20,Grade 1 PE & HEALTH  Q1 Ep2:  Paglikha ng mga Hugis Gamit ang Iba't ibang Bahagi ng Katawan...,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,ariel delos santos,Episode 02,physical education & health,1439,9
28,hd,9463,93,59,0,2021-08-24,Grade 1 PE & HEALTH Q1 Ep3: Subukin ang Sarili / Pagkaing Masustansiya at Hindi Masustansiya,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,ariel delos santos,Episode 03,physical education & health,1354,9
29,hd,8094,73,51,0,2021-08-24,Grade 1 PE & HEALTH Q1 Ep4: Pagbabalanse / Masustansiya at Hindi Masustansiyang Pagkain,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,ariel delos santos,Episode 04,physical education & health,1295,9
30,hd,8848,94,56,0,2021-08-25,Grade 1 PE & HEALTH Q1 Ep5: Pagbabalanse / Gawain Tungo sa Kalusugan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,ariel delos santos,Episode 05,physical education & health,1322,9
31,hd,8345,74,52,0,2021-08-24,Grade 1 PE & HEALTH Q1 Ep6: Pagbabalanse / Gawain Tungo sa Kalusugan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,ariel delos santos,Episode 06,physical education & health,1443,9
32,hd,34777,433,210,0,2021-08-18,Grade 1 ARTS & MUSIC Q1 Ep1: Nasaan ang Sining? / Pagkakaiba ng Tunog at Katahimikan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,rafael martinez,Episode 01,arts & music,1501,9
33,hd,23068,254,61,0,2021-01-19,Grade 1 Music and Arts Q1 Ep 2 Kilalanin ang Mga gamit,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,rafael martinez,Episode 02,music & arts,1441,9
34,hd,22717,231,60,0,2021-01-19,Grade 1 Music and Arts  Q1 Ep 3  Iba't ibang Kasangkapan at Kagamitan sa Pagguhit,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,rafael martinez,Episode 03,music & arts,1561,9
35,hd,11134,102,30,0,2021-01-19,Grade 1 Music and Arts Q1 Ep 4 Iba't ibang kasangkapan at Kagamitan sa Pagguhit ng Sarili,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,rafael martinez,Episode 04,music & arts,1381,9
36,hd,7603,66,48,0,2021-08-25,Grade 1 Music and Arts Q1 Ep 5 Kagamitan sa Pagguhit / Apatang Sukat ng Pulso,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,rafael martinez,Episode 05,music & arts,1381,9
37,hd,8928,65,24,0,2021-01-19,Grade 1 Music and Arts  Q1 Ep 6  Ang Paborito Kong Halaman,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,eujan abracia,Episode 06,music & arts,1397,9
38,hd,17341,153,46,0,2021-01-19,Grade 1 Music and Arts Q1 Ep 7 Ang Paborito kong Halaman,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,eujan abracia,Episode 07,music & arts,1381,9
39,hd,8106,64,22,0,2021-01-19,Grade 1 Music and Arts Q1 Ep 8 Ang Paborito Kong Halaman,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,eujan abracia,Episode 08,music & arts,1381,9
40,hd,21898,229,48,0,2020-11-04,Grade 1 MTB Q1 Ep2: Paggamit sa Terminong Kaugnay sa Aklat,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",1,Quarter 1,Grade 1,gerry rivas,Episode 02,mother tongue based multilingual education,1351,11
41,hd,63607,728,146,0,2020-11-21,Grade 1 MTB Q1 Ep3: Pagbasa ng mga Salita,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 03,mother tongue based multilingual education,1441,9
42,hd,37941,440,87,0,2020-11-21,Grade 1 MTB Q1 Ep4: Pagtukoy sa mga Salitang Magkasingtunog,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 04,mother tongue based multilingual education,1381,9
43,hd,37622,344,105,0,2021-02-08,Grade 1 MTB-MLE Q1 Ep 5  Pagbibigay ng Ngalan at Umpisa Tunog ng Bagay o Larawan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 05,mother tongue based multilingual education,1411,9
44,hd,12470,108,35,0,2021-02-08,Grade 1 MTB-MLE Q1 Ep 6 Pagpapahayag ng Ideya sa Pamamagitan ng Iba't ibang Simbolo,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 06,mother tongue based multilingual education,1312,9
45,hd,8932,81,22,0,2020-12-18,Grade 1 MTB Q1 Ep7: Paghubog sa Kahusayan sa Pagsagot sa mga Tanong Hango sa Kwentong Maririning ...,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 07,mother tongue based multilingual education,1501,9
46,hd,7761,91,19,0,2020-12-18,Grade 1 MTB Q1 Ep8: Paggamit ng Karaniwang Ekspresyon at Magalang na Pananalita,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 08,mother tongue based multilingual education,1501,9
47,hd,8689,75,24,0,2021-02-08,Grade 1 MTB-MLE Q1 Ep 9 Pagbibigay ng Pares ng mga Salitang Magkasingtunog,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 09,mother tongue based multilingual education,1141,9
48,hd,8170,86,23,0,2021-02-08,Grade 1 MTB-MLE Q1 Ep 10 Paghahambing sa Malalaki at Maliliit n Letra,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 10,mother tongue based multilingual education,1231,9
49,hd,7856,75,22,0,2021-02-08,Grade 1 MTB-MLE Q1 Ep 11 Pagbbibigay Kahulugan ng mga Salita,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 11,mother tongue based multilingual education,1291,9
50,hd,4710,52,12,0,2020-12-18,Grade 1 MTB Q1 Ep12:  Pangkatang Pagbikas at Pag-awit ng mga Kilalang Tugma at Awitin,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 12,mother tongue based multilingual education,1321,9
51,hd,8712,92,21,0,2020-12-18,Grade 1 MTB Q1 Ep13: Pagsulat ng mga Letra Ayon sa Tamang Laki at Layo sa Isa't Isa,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 13,mother tongue based multilingual education,1441,9
52,hd,15841,182,40,0,2021-01-04,Grade 1 MTB MLE Ep14: Pagtutugma ng Salita sa Wastong Larawan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter Not Specified,Grade 1,gerry rivas,Episode 14,mother tongue based multilingual education,1595,9
53,hd,16080,177,41,0,2021-01-04,Grade 1 MTB MLE  Ep15: Tamang Pagbabasa at Pagbibigay ng Tamang Pagkakasunod-sunod ...,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter Not Specified,Grade 1,gerry rivas,Episode 15,mother tongue based multilingual education,1462,9
54,hd,4257,44,27,0,2021-08-25,Grade 1 MTB Q1 Ep16: Pagtukoy sa Kuwentong Binasa,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,gerry rivas,Episode 16,mother tongue based multilingual education,1471,9
55,hd,33183,384,74,0,2020-11-07,Grade 1 Math Q1 Ep3: Bilang na Higit ng Isa sa Naibigay na Bilang,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 03,math,1396,11
56,hd,16543,173,43,0,2021-01-15,Grade 1 Math Q1 Ep 4 Bilang na Kulang ng Isa sa Naibigay na Bilang,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 04,math,1382,9
57,hd,43315,468,96,0,2020-11-07,Grade 1 Math Q1 Ep5: Regrouping Sets of Ones into Sets of Tens Using Objects,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 05,math,1231,11
58,hd,22076,232,55,0,2020-12-28,Grade 1 Math Q1 Ep6: Regrouping Sets of Ones to Sets of Tens and Sets of Tens into Hundreds,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 06,math,1296,9
59,hd,14765,181,35,0,2020-12-02,"Grade 1 Math Q1 Ep7: Comparing Two Sets Using the Expressions Less Than, More Than, and As Many As","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 07,math,1293,9
60,hd,18365,175,48,0,2021-01-14,Grade 1 Math Q1 Ep 8: Ordering Sets from Least to Greatest and Vice Versa,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 08,math,1211,9
61,hd,19674,259,52,0,2021-01-14,Grade 1 Math Q1 Ep 9 Reading and Writing Numbers Up to 100 in Symbols and in Words,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 09,math,1354,9
62,hd,29250,321,79,0,2021-01-26,Grade 1 Math Q1 Ep 10 isualizing and Giving the Place Value and Value of a Digit,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 10,math,1208,9
63,hd,13262,158,35,0,2021-01-14,Grade 1 Math Q1 EP 11  Rename Numbers into Tens and Ones,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 11,math,1226,9
64,hd,12855,159,32,0,2020-12-21,Grade 1 Math Q1 Ep12: Comparing Numbers Up to 100 Using Relation Symbols and Ordering Them etc,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 12,math,1300,9
65,hd,29173,296,76,0,2021-01-14,"Grade 1 Math Q1 Ep 13 Identifying, Reading and Writing Ordinal Numbers","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 13,math,1215,9
66,hd,16882,193,44,0,2021-01-14,Grade 1 Math Q1 Ep 14 Recognizing and Comparing Coins and Bills up to 100 php and their Notations,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,maria luisa san miguel,Episode 14,math,1198,9
67,hd,37151,550,84,0,2020-11-13,Grade 1 ESP Q1 Ep1: Pagkilala sa Sarili,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",1,Quarter 1,Grade 1,aileen sto domingo,Episode 01,edukasyon sa pagparaling panlipunanakatao,1414,11
68,hd,24914,330,55,0,2020-11-06,Grade 1 ESP Q1 Ep2: Pagpapahalaga sa Sarili,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",1,Quarter 1,Grade 1,aileen sto domingo,Episode 02,edukasyon sa pagparaling panlipunanakatao,1337,11
69,hd,25266,312,62,0,2020-12-17,Grade 1 ESP Q1 Ep3:  Pagpapahalaga sa Sarili,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,aileen sto domingo,Episode 03,edukasyon sa pagparaling panlipunanakatao,1294,9
70,hd,18728,209,44,0,2020-12-02,Grade 1 ESP Q1 Ep4: Nakakikilala ng mga Gawaing Nagpapakita ng Pagkakabuklod,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",1,Quarter 1,Grade 1,aileen sto domingo,Episode 04,edukasyon sa pagparaling panlipunanakatao,1374,9
